"Taxon","Exclude","Hybrid","US","Standard","US_East","US_Gulf","US_West","Oligochaeta"
"Ceratonereis mirabilis",,"III","III","II",,"III",,"No"
"Ceratonereis versipedata",,"II",,"II",,,,"No"
"Ceratonereis vittata",,"II",,"II",,,,"No"
"Ceratostoma erinaceum",,"II",,"II",,,,"No"
"Cerberilla",,"I",,"I",,,,"No"
"Cerebratulus",,"III",,"III",,,,"No"
"Cerebratulus fuscus",,"III",,"III",,,,"No"
"Cerebratulus lacteus",,"II","II",,"II","II",,"No"
"Cerebratulus marginatus",,"III",,"III",,,,"No"
"Cerebratulus montgomeryi",,"II","II",,,,"II","No"
"Cereus pedunculatus",,"I",,"I",,,,"No"
"Cerianthus",,"I",,"I",,,,"No"
"Cerianthus filifornis",,"I",,"I",,,,"No"
"Cerianthus lloydi",,"I",,"I",,,,"No"
"Cerianthus membranacea",,"I",,"I",,,,"No"
"Cerithidea californica",,"II",,"II",,,,"No"
"Cerithidea cingulata",,"I",,"I",,,,"No"
"Cerithidea costata",,"II",,"II",,,,"No"
"Cerithidea djadjariensis",,"I",,"I",,,,"No"
"Cerithiella metula",,"I",,"I",,,,"No"
"Cerithiopsis minima",,"I",,"I",,,,"No"
"Cerithiopsis tubercularis",,"I",,"I",,,,"No"
"Cerithium",,"II",,"II",,,,"No"
"Cerithium atratum",,"II",,"II",,,,"No"
"Cerithium eburneum",,"II",,"II",,,,"No"
"Cerithium litteratum",,"II",,"II",,,,"No"
"Cerithium muscarum",,"II","II",,,"II",,"No"
"Cerithium rupestre",,"II",,"II",,,,"No"
"Cerithium scabridum",,"II",,"II",,,,"No"
"Cerithium vulgatum",,"II",,"II",,,,"No"
"Cestopagurus",,"I",,"I",,,,"No"
"Cestopagurus timidus",,"I",,"I",,,,"No"
"Chaetoderma",,"II","II","II",,,"II","No"
"Chaetoderma elegans",,"II","II",,,,"II","No"
"Chaetoderma nanulum",,"II","II",,,,"II","No"
"Chaetoderma nitidulum",,"II",,"II",,,,"No"
"Chaetogammarus marinus",,"I",,"I",,,,"No"
"Chaetogammarus stoerensis",,"III",,"III",,,,"No"
"Chaetogaster",,"II",,"II",,,,"Yes"
"Chaetoparia nilssoni",,"II",,"II",,,,"No"
"Chaetopterus",,"I",,"I",,,,"No"
"Chaetopterus norvegicus",,"I",,"I",,,,"No"
"Chaetopterus variopedatus",,"I","I","I",,,"I","No"
"Chaetozone","Yes",,,"IV",,"II",,"No"
"Chaetozone acuta",,"II","II",,,,"II","No"
"Chaetozone bansei",,"II","II",,,,"II","No"
"Chaetozone caputesocis",,"IV",,"IV",,,,"No"
"Chaetozone christiei",,"IV",,"IV",,,,"No"
"Chaetozone columbiana",,"III","III","III",,,"III","No"
"Chaetozone corona",,"III","III","III",,,"III","No"
"Chaetozone gibber",,"IV",,"IV",,,,"No"
"Chaetozone jubata",,"IV",,"IV",,,,"No"
"Chaetozone lunula",,"II","II",,,,"II","No"
"Chaetozone setosa",,"III","III","IV",,,"III","No"
"Chaetozone vivipara",,"IV",,"IV",,,,"No"
"Chaetozone zetlandica",,"IV",,"IV",,,,"No"
"Chamelea",,"I",,"I",,,,"No"
"Chamelea gallina",,"I",,"I",,,,"No"
"Chamelea gallina striatula",,"I",,"I",,,,"No"
"Chamelea striatula",,"I",,"I",,,,"No"
"Chaoborus",,"IV",,"IV",,,,"No"
"Chaoborus albatus",,"IV","IV","IV","IV",,,"No"
"Chaoborus punctipennis",,"IV",,"IV",,,,"No"
"Chartella papyracea",,"II",,"II",,,,"No"
"Charybdis japonica",,"II",,"II",,,,"No"
"Charybdis riversandersoni",,"II",,"II",,,,"No"
"Chauliopleona dentata",,"II",,"II",,,,"No"
"Chauvetia",,"I",,"I",,,,"No"
"Chauvetia brunnea",,"I",,"I",,,,"No"
"Cheirimedeia zotea",,"I","I",,,,"I","No"
"Cheirocratus",,"I",,"I",,,,"No"
"Cheirocratus assimilis",,"I",,"I",,,,"No"
"Cheirocratus intermedius",,"I",,"I",,,,"No"
"Cheirocratus robustus",,"I",,"I",,,,"No"
"Cheirocratus sundevalli",,"I",,"I",,,,"No"
"Chelicorophium curvispinum",,"III",,"III",,,,"No"
"Cheriaster reunionensis",,"I",,"I",,,,"No"
"Chione",,"II",,"II",,,,"No"
"Chione californiensis",,"II","II","II",,,"II","No"
"Chione cancellata",,"II","II","II","II",,,"No"
"Chione latilirata",,"II",,"II",,,,"No"
"Chione ovata",,"I",,"I",,,,"No"
"Chione undatella",,"II","II","II",,,"II","No"
"Chiridotea almyra",,"II","II","II","II",,,"No"
"Chiridotea caeca",,"II",,"II",,,,"No"
"Chiridotea tuftsi",,"I","I",,"I",,,"No"
"Chiridotea tuftsii",,"I","I","II","I",,,"No"
"Chirimia",,"II",,"II",,,,"No"
"Chirimia biceps",,"II",,"II",,,,"No"
"Chirimia gotoi",,"II",,"II",,,,"No"
"Chirimia similis",,"II","II",,,,"II","No"
"Chironomidae","Yes",,,"III",,,"III","No"
"Chironomus",,"III","III","III","III",,,"No"
"Chironomus anthracinus",,"III",,"III",,,,"No"
"Chironomus aprilinus",,"III",,"III",,,,"No"
"Chironomus crassicaudatus",,"III",,"III",,,,"No"
"Chironomus halophilus",,"III",,"III",,,,"No"
"Chironomus plumosus",,"III",,"III",,,,"No"
"Chironomus salinarius",,"IV",,"IV",,,,"No"
"Chironomus tentans",,"III",,"III",,,,"No"
"Chironomus viridulus",,"III",,"III",,,,"No"
"Chiton",,"II",,"II",,,,"No"
"Chlamys",,"I",,"I",,,,"No"
"Chlamys glabra",,"I",,"I",,,,"No"
"Chlamys islandica",,"I",,"I",,,,"No"
"Chlamys opercularis",,"I",,"I",,,,"No"
"Chlamys patagonicus",,"I",,"I",,,,"No"
"Chlamys proteus",,"I",,"I",,,,"No"
"Chlamys septemradiatus",,"II",,"II",,,,"No"
"Chlamys varia",,"I",,"I",,,,"No"
"Chlamys vitrea",,"I",,"I",,,,"No"
"Chloeia fusca",,"IV",,"IV",,,,"No"
"Chloeia parva",,"II",,"II",,,,"No"
"Chloeia pinnata",,"II","II",,,,"II","No"
"Chloeia rosea",,"IV",,"IV",,,,"No"
"Chloeia venusta",,"IV",,"IV",,,,"No"
"Chloeia violacea",,"II",,"II",,,,"No"
"Chloeia viridis",,"IV",,"IV",,,,"No"
"Chone",,"III","III","II",,"III",,"No"
"Chone acustica",,"II",,"II",,,,"No"
"Chone albocincta",,"II",,"II",,,,"No"
"Chone americana",,"II",,"II",,,,"No"
"Chone arenicola",,"II",,"II",,,,"No"
"Chone collaris",,"II",,"II",,,,"No"
"Chone duneri",,"III","III","II",,"III","II","No"
"Chone ecaudata",,"II","II","II",,,"II","No"
"Chone elevata",,"III","III",,,"III",,"No"
"Chone fauveli",,"II",,"II",,,,"No"
"Chone filicaudata",,"II",,"II",,,,"No"
"Chone infundibuliformis",,"II",,"II",,,,"No"
"Chone longiseta",,"II",,"II",,,,"No"
"Chone longocirrata",,"II",,"II",,,,"No"
"Chone magna",,"II","II",,,,"II","No"
"Chone minuta",,"II",,"II",,,,"No"
"Chone mollis",,"II","II","II",,,"II","No"
"Chone veleronis",,"II","II","II",,,"II","No"
"Christerius litoralis",,"V",,"V",,,,"No"
"Chrysallida",,"II",,"II",,,,"No"
"Chrysallida decussata",,"II",,"II",,,,"No"
"Chrysallida doliolum",,"II",,"II",,,,"No"
"Chrysallida excavata",,"II",,"II",,,,"No"
"Chrysallida fenestrata",,"II",,"II",,,,"No"
"Chrysallida indistincta",,"II",,"II",,,,"No"
"Chrysallida interstincta",,"II",,"II",,,,"No"
"Chrysallida monterosatoi",,"II",,"II",,,,"No"
"Chrysallida obtusa",,"II",,"II",,,,"No"
"Chrysallida obtusa interstincta",,"II",,"II",,,,"No"
"Chrysallida pellucida",,"II",,"II",,,,"No"
"Chrysallida spiralis",,"II",,"II",,,,"No"
"Chrysallida suturalis",,"II",,"II",,,,"No"
"Chrysallida terebellum",,"II",,"II",,,,"No"
"Chrysopetalum",,"I",,"I",,,,"No"
"Chrysopetalum debile",,"I",,"I",,,,"No"
"Chthamalus montagui",,"I",,"I",,,,"No"
"Chthamalus stellatus",,"I",,"I",,,,"No"
"Cibrilina radiata",,"II",,"II",,,,"No"
"Ciliatocardium ciliatum",,"I",,"I",,,,"No"
"Cingula",,"I",,"I",,,,"No"
"Cingula cingillus",,"I",,"I",,,,"No"
"Cingula proxima",,"I",,"I",,,,"No"
"Cingula trifasciata",,"I",,"I",,,,"No"
"Ciona",,"III",,"III",,,,"No"
"Ciona intestinalis",,"III",,"III",,,,"No"
"Circe minima",,"I",,"I",,,,"No"
"Circeis spirillum",,"I",,"I",,,,"No"
"Circomphalus casina",,"I",,"I",,,,"No"
"Circulus striatus",,"I",,"I",,,,"No"
"Cirolana",,"II",,"II",,,,"No"
"Cirolana borealis",,"II",,"II",,,,"No"
"Cirolana cranchii",,"II",,"II",,,,"No"
"Cirolana japonensis",,"II",,"II",,,,"No"
"Cirolana japonica",,"II",,"II",,,,"No"
"Cirratulidae","Yes",,,"IV",,"III",,"No"
"Cirratulus",,"IV",,"IV",,,,"No"
"Cirratulus africanus",,"IV",,"IV",,,,"No"
"Cirratulus caudatus",,"IV",,"IV",,,,"No"
"Cirratulus chrysoderma",,"IV",,"IV",,,,"No"
"Cirratulus cirratus",,"IV",,"IV",,,,"No"
"Cirratulus filiformis",,"IV",,"IV",,,,"No"
"Cirratulus incertus",,"IV",,"IV",,,,"No"
"Cirratulus spectabilis",,"IV","IV",,,,"IV","No"
"Cirriformia",,"IV","IV","IV",,,"IV","No"
"Cirriformia chrysoderma",,"IV",,"IV",,,,"No"
"Cirriformia filigera",,"IV",,"IV",,,,"No"
"Cirriformia grandis",,"III","III",,"III","III",,"No"
"Cirriformia moorei",,"IV","IV",,,,"IV","No"
"Cirriformia tentaculata",,"IV",,"IV",,,,"No"
"Cirrophorus",,"II","II","III","II","III",,"No"
"Cirrophorus americanus",,"III","III",,"III",,,"No"
"Cirrophorus armatus",,"III",,"III",,,,"No"
"Cirrophorus branchiatus",,"III",,"III",,,,"No"
"Cirrophorus eliasoni",,"III",,"III",,,,"No"
"Cirrophorus forticirratus",,"III","III",,,"III",,"No"
"Cirrophorus furcatus",,"III","III","II","III","III",,"No"
"Cirrophorus harpagoneus",,"III",,"III",,,,"No"
"Cirrophorus lyra",,"III","III","III",,"III",,"No"
"Cirrophorus lyriformis",,"III",,"III",,,,"No"
"Cladocera",,"III",,"III",,,,"No"
"Cladotanytarsus",,"IV","IV","IV","IV",,,"No"
"Cladotanytarsus mancus",,"IV",,"IV",,,,"No"
"Clausinella",,"I",,"I",,,,"No"
"Clausinella brongniartii",,"I",,"I",,,,"No"
"Clausinella fasciata",,"I",,"I",,,,"No"
"Clava multicornis",,"I",,"I",,,,"No"
"Clavidae","Yes",,,"I",,,,"No"
"Clibanarius",,"II",,"II",,,,"No"
"Clibanarius antillensis",,"II",,"II",,,,"No"
"Clinocardium",,"I","I",,,,"I","No"
"Clinocardium nuttallii",,"I","I",,,,"I","No"
"Clinotanypus pinguis",,"IV",,"IV",,,,"No"
"Clitellio",,"V",,"V",,,,"No"
"Clitellio arenarius",,"V",,"V",,,,"No"
"Clymene",,"I",,"I",,,,"No"
"Clymene affinis",,"III",,"III",,,,"No"
"Clymene collaris",,"I",,"I",,,,"No"
"Clymene gracilis",,"III",,"III",,,,"No"
"Clymene lophoseta",,"III",,"III",,,,"No"
"Clymene lophosetosa",,"III",,"III",,,,"No"
"Clymene lumbricoides",,"I",,"I",,,,"No"
"Clymene modesta",,"I",,"I",,,,"No"
"Clymene oerstedi",,"I",,"I",,,,"No"
"Clymene palermitana",,"I",,"I",,,,"No"
"Clymene praetermissa",,"III",,"III",,,,"No"
"Clymene robusta",,"V",,"V",,,,"No"
"Clymene santanderensis",,"I",,"I",,,,"No"
"Clymenella",,"I",,"I",,,,"No"
"Clymenella cincta",,"I",,"I",,,,"No"
"Clymenella mucosa",,"I","I",,"I","I",,"No"
"Clymenella torquata",,"I","I","I","I","I",,"No"
"Clymenella zonalis",,"I","I",,"I",,,"No"
"Clymenura",,"III",,"III",,,,"No"
"Clymenura borealis",,"III",,"III",,,,"No"
"Clymenura clypeata",,"III",,"III",,,,"No"
"Clymenura gracilis",,"I","I",,,,"I","No"
"Clymenura tricirrata",,"III",,"III",,,,"No"
"Clytia",,"I",,"I",,,,"No"
"Clytia gracilis",,"I",,"I",,,,"No"
"Clytia hemisphaerica",,"I",,"I",,,,"No"
"Clytia linearis",,"I",,"I",,,,"No"
"Cnidaria","Yes",,,"I",,,,"No"
"Cochliolepis",,"II",,"II",,,,"No"
"Codakia decussata",,"I",,"I",,,,"No"
"Codakia orbicularis",,"I","I","I",,"I",,"No"
"Codakia orbiculata",,"I",,"I",,,,"No"
"Codakia pectinella",,"I",,"I",,,,"No"
"Coelotanypus",,"II","II","IV","II","IV",,"No"
"Colomastix pusilla",,"II",,"II",,,,"No"
"Columbella adansoni",,"I",,"I",,,,"No"
"Columbella rustica",,"I",,"I",,,,"No"
"Columbiaemysis ignota",,"II",,"II",,,,"No"
"Colus",,"I",,"I",,,,"No"
"Colus gracilis",,"I",,"I",,,,"No"
"Colus islandicus",,"I",,"I",,,,"No"
"Colus jeffreysianus",,"I",,"I",,,,"No"
"Compsomyax subdiaphana",,"II","II","II",,,"II","No"
"Conopeum reticulum",,"II",,"II",,,,"No"
"Conopeum seurati",,"II",,"II",,,,"No"
"Conus",,"I",,"I",,,,"No"
"Conus californicus",,"I",,"I",,,,"No"
"Conus mediterraneus",,"I",,"I",,,,"No"
"Cooperella subdiaphana",,"II","II","II",,,"II","No"
"Corbicula",,"III","III",,"III",,,"No"
"Corbicula fluminea",,"III","III","III",,,"III","No"
"Corbicula manilensis",,"III","III",,"III",,,"No"
"Corbula",,"IV",,"IV",,,,"No"
"Corbula caribaea",,"IV",,"IV",,,,"No"
"Corbula contracta",,"IV",,"IV",,,,"No"
"Corbula gibba",,"IV",,"IV",,,,"No"
"Corbula persica",,"IV",,"IV",,,,"No"
"Corbula porcella",,"II",,"II",,,,"No"
"Corbula swiftiana",,"IV",,"IV",,,,"No"
"Cordylophora caspia",,"I",,"I",,,,"No"
"Corella",,"III",,"III",,,,"No"
"Corella parallelogramma",,"III",,"III",,,,"No"
"Corophium",,"III","III","III","III","III",,"No"
"Corophium acherusicum",,"III","III","III",,"III",,"No"
"Corophium aculeatum",,"III",,"III",,,,"No"
"Corophium acutum",,"III",,"III",,,,"No"
"Corophium affine",,"III",,"III",,,,"No"
"Corophium alienense",,"III",,"III",,,,"No"
"Corophium arenarium",,"III",,"III",,,,"No"
"Corophium bonnellii",,"III",,"III",,,,"No"
"Corophium crassicorne",,"III",,"III",,,,"No"
"Corophium heteroceratum",,"III","III","III",,,"III","No"
"Corophium insidiosum",,"III",,"III",,,,"No"
"Corophium lacustre",,"III","III","III","III",,,"No"
"Corophium lamellatum",,"III",,"III",,,,"No"
"Corophium louisianum",,"III","III",,,"III",,"No"
"Corophium major",,"III",,"III",,,,"No"
"Corophium minimum",,"III",,"III",,,,"No"
"Corophium multisetosum",,"III",,"III",,,,"No"
"Corophium oaklandense",,"III",,"III",,,,"No"
"Corophium orientale",,"III",,"III",,,,"No"
"Corophium rotundirostre",,"III",,"III",,,,"No"
"Corophium runcicorne",,"III",,"III",,,,"No"
"Corophium sextonae",,"III",,"III",,,,"No"
"Corophium simile",,"II","II",,"II",,,"No"
"Corophium sinense",,"III",,"III",,,,"No"
"Corophium sinensis",,"III",,"III",,,,"No"
"Corophium spinicorne",,"III",,"III",,,,"No"
"Corophium stimpsoni",,"III",,"III",,,,"No"
"Corophium tuberculatum",,"III","III",,"III",,,"No"
"Corophium urdaibaiense",,"III",,"III",,,,"No"
"Corophium volutator",,"III",,"III",,,,"No"
"Corymorpha nana",,"I",,"I",,,,"No"
"Corymorpha nutans",,"I",,"I",,,,"No"
"Corynactis viridis",,"I",,"I",,,,"No"
"Coryne",,"I",,"I",,,,"No"
"Coryne pusilla",,"I",,"I",,,,"No"
"Coryphella",,"II",,"II",,,,"No"
"Coryphella browni",,"II",,"II",,,,"No"
"Coryphella verrucosa",,"II",,"II",,,,"No"
"Corystes cassivelaunus",,"I",,"I",,,,"No"
"Cossura",,"III","III","IV",,,"III","No"
"Cossura candida",,"III","III","III",,,"III","No"
"Cossura coasta",,"IV",,"IV",,,,"No"
"Cossura delta",,"III","III","IV",,"III",,"No"
"Cossura longocirrata",,"IV","IV","IV","IV",,,"No"
"Cossura pygodactylata",,"III","III","IV",,,"III","No"
"Cossura soyeri",,"IV","IV","IV","IV",,,"No"
"Cossurella dimorpha",,"IV",,"IV",,,,"No"
"Costoanachis",,"I",,"I",,,,"No"
"Costoanachis avara",,"I",,"I",,,,"No"
"Costoanachis sparsa",,"I",,"I",,,,"No"
"Crangon",,"I",,"I",,,,"No"
"Crangon affinis",,"I",,"I",,,,"No"
"Crangon alaskensis",,"II","II","II",,,"II","No"
"Crangon allmanni",,"II",,"II",,,,"No"
"Crangon cassiope",,"II",,"II",,,,"No"
"Crangon crangon",,"I",,"I",,,,"No"
"Crangon franciscorum",,"II","II",,,,"II","No"
"Crangon nigricauda",,"II","II",,,,"II","No"
"Crangon nigromaculata",,"II",,"II",,,,"No"
"Crangon septemspinosa",,"I","I","I","I",,,"No"
"Crangonidae","Yes",,,"I",,,,"No"
"Crassicorophium bonnellii",,"III",,"III",,,,"No"
"Crassicorophium crassicorne",,"III","III","III","III",,,"No"
"Crassinella lunulata",,"I","I",,"I",,,"No"
"Crassostrea angulata",,"III",,"III",,,,"No"
"Crassostrea gigas",,"III",,"III",,,,"No"
"Crassostrea virginica",,"III",,"III",,,,"No"
"Crenella decussata",,"I","I","I","I",,,"No"
"Crepidula",,"III","III","III","III","III",,"No"
"Crepidula aculeata",,"III",,"III",,,,"No"
"Crepidula adunca",,"II",,"II",,,,"No"
"Crepidula convexa",,"II","II","II",,,"II","No"
"Crepidula dilatata",,"II",,"II",,,,"No"
"Crepidula fornicata",,"III","III","III","III","III",,"No"
"Crepidula glottidiarum",,"II",,"II",,,,"No"
"Crepidula maculosa",,"III","III","III","III",,,"No"
"Crepidula naticarum",,"II",,"II",,,,"No"
"Crepidula norrisianum",,"II",,"II",,,,"No"
"Crepidula onyx",,"III",,"III",,,,"No"
"Crepidula plana",,"III","III","III","III","III",,"No"
"Crepidula unguiformis",,"III",,"III",,,,"No"
"Crepidulidae",,"I",,"I",,,,"No"
"Crepipatella dilatata",,"II",,"II",,,,"No"
"Crepipatella dorsata",,"II","II","II",,,"II","No"
"Cribrinopsis crassa",,"II",,"II",,,,"No"
"Crinophtheiros collinsi",,"I",,"I",,,,"No"
"Crisidia cornuta",,"II",,"II",,,,"No"
"Crisilla semistriata",,"I",,"I",,,,"No"
"Crucibulum spinosum",,"II",,"II",,,,"No"
"Cryptocentrus",,"III",,"III",,,,"No"
"Cryptochironomus",,"III","III","III",,"III",,"No"
"Cryptochironomus fulvus",,"III",,"III",,,,"No"
"Cryptomya californica",,"II","II","II",,,"II","No"
"Cryptonatica affinis",,"II","II",,,,"II","No"
"Cryptosula pallasiana",,"II",,"II",,,,"No"
"Ctena decussata",,"I",,"I",,,,"No"
"Ctena pectinella",,"I",,"I",,,,"No"
"Ctenodiscus crispatus",,"I",,"I",,,,"No"
"Cubanocuma gutzui",,"II","II",,,"II",,"No"
"Cucumaria",,"I",,"I",,,,"No"
"Cucumaria elongata",,"I",,"I",,,,"No"
"Cucumaria kirchsbergi",,"I",,"I",,,,"No"
"Cucumaria lactea",,"I",,"I",,,,"No"
"Cucumariidae","Yes",,,"I",,,,"No"
"Cultellidae",,"I",,"I",,,,"No"
"Cultellus",,"I",,"I",,,,"No"
"Cultellus adriaticus",,"I",,"I",,,,"No"
"Cultellus pellucidus",,"I",,"I",,,,"No"
"Cultrensis adriaticus",,"I",,"I",,,,"No"
"Cumacea",,"II","II","II",,"II",,"No"
"Cumella",,"II","II","II",,"II","II","No"
"Cumella arguta",,"II",,"II",,,,"No"
"Cumella californica",,"II",,"II",,,,"No"
"Cumella garrityi",,"II","II",,,"II",,"No"
"Cumella limicola",,"II",,"II",,,,"No"
"Cumella pygmaea",,"II",,"II",,,,"No"
"Cumella vulgaris",,"II","II",,,,"II","No"
"Cumingia californica",,"II",,"II",,,,"No"
"Cumopsis",,"II",,"II",,,,"No"
"Cumopsis fagei",,"II",,"II",,,,"No"
"Cumopsis goodsir",,"II",,"II",,,,"No"
"Cumopsis longipes",,"II",,"II",,,,"No"
"Curveulima devians",,"I",,"I",,,,"No"
"Curveulima macrophtalmica",,"I",,"I",,,,"No"
"Cuspidaria",,"I",,"I",,,,"No"
"Cuspidaria abbreviata",,"I",,"I",,,,"No"
"Cuspidaria costellata",,"I",,"I",,,,"No"
"Cuspidaria cuspidata",,"I",,"I",,,,"No"
"Cuspidaria jugosa",,"I",,"I",,,,"No"
"Cuspidaria lamellosa",,"I",,"I",,,,"No"
"Cuspidaria obesa",,"I",,"I",,,,"No"
"Cuspidaria rostrata",,"I",,"I",,,,"No"
"Cyanophthalma",,"III",,"III",,,,"No"
"Cyanophthalma obscura",,"III",,"III",,,,"No"
"Cyathodonta pedroana",,"II",,"II",,,,"No"
"Cyathura",,"III",,"III",,,,"No"
"Cyathura burbancki",,"II","II","II","II",,,"No"
"Cyathura carinata",,"III",,"III",,,,"No"
"Cyathura munda",,"III",,"III",,,,"No"
"Cyathura polita",,"II","II","III","II",,,"No"
"Cyclaspis",,"II","II",,,"II",,"No"
"Cyclaspis picta",,"II",,"II",,,,"No"
"Cyclaspis platymerus",,"II","II",,,"II",,"No"
"Cyclaspis pustulata",,"II","II",,,"II",,"No"
"Cyclaspis varians",,"II","II","II","II","II",,"No"
"Cyclina sinensis",,"I",,"I",,,,"No"
"Cyclinella tenuis",,"I",,"I",,,,"No"
"Cyclocardia compressa",,"I",,"I",,,,"No"
"Cyclocardia velutinus",,"I",,"I",,,,"No"
"Cyclocardia ventricosa",,"II","II",,,,"II","No"
"Cyclope neritea",,"I",,"I",,,,"No"
"Cyclope pellucida",,"I",,"I",,,,"No"
"Cyclostremella concordia",,"II","II",,,,"II","No"
"Cylichna",,"II",,"II",,,,"No"
"Cylichna alba",,"II","II","II",,,"II","No"
"Cylichna attonsa",,"II","II",,,,"II","No"
"Cylichna collyra",,"II",,"II",,,,"No"
"Cylichna cylindracea",,"II",,"II",,,,"No"
"Cylichna diegensis",,"II","II","II",,,"II","No"
"Cylichna graeca",,"II",,"II",,,,"No"
"Cylichna occulta",,"II",,"II",,,,"No"
"Cylichna propecylindracea",,"II",,"II",,,,"No"
"Cylichnina",,"II",,"II",,,,"No"
"Cylichnina subcylindrica",,"II",,"II",,,,"No"
"Cylichnina umbilicata",,"II",,"II",,,,"No"
"Cylindrobulla",,"I",,"I",,,,"No"
"Cylindrobulla beauii",,"I","I","I",,"I",,"No"
"Cylindrobulla fragilis",,"I",,"I",,,,"No"
"Cymadusa",,"I",,"I",,,,"No"
"Cymadusa compta",,"I","I","I","I","I",,"No"
"Cymadusa filosa",,"I",,"I",,,,"No"
"Cymodoce",,"I",,"I",,,,"No"
"Cymodoce spinosa",,"I",,"I",,,,"No"
"Cymodoce truncata",,"I",,"I",,,,"No"
"Cypridina mediterranea",,"II",,"II",,,,"No"
"Cypridina megalops",,"II",,"II",,,,"No"
"Cypridina norvegica",,"II",,"II",,,,"No"
"Cythara attenuata",,"II",,"II",,,,"No"
"Cythara costata",,"II",,"II",,,,"No"
"Cythara ginaria",,"II",,"II",,,,"No"
"Cytharella smithi",,"II",,"II",,,,"No"
"Dardanus arrosor",,"II",,"II",,,,"No"
"Dardanus calidus",,"II",,"II",,,,"No"
"Dardanus tinctor",,"II",,"II",,,,"No"
"Dasybranchus",,"III",,"III",,,,"No"
"Dasybranchus caducus",,"III",,"III",,,,"No"
"Dasybranchus gajolae",,"III",,"III",,,,"No"
"Dasybranchus lumbricoides",,"III",,"III",,,,"No"
"Dasybranchus lunulatus",,"III","III","III",,"III",,"No"
"Dasybranchus platiceps",,"IV",,"IV",,,,"No"
"Dasychone bombyx",,"I",,"I",,,,"No"
"Dasychone lucullana",,"I",,"I",,,,"No"
"Decamastus",,"III",,"III",,,,"No"
"Decamastus gracilis",,"II","II","II",,,"II","No"
"Decipula tenella",,"II",,"II",,,,"No"
"Deflexilodes norvegicus",,"II",,"II",,,,"No"
"Delectopecten vitreus",,"I",,"I",,,,"No"
"Deltamysis",,"II",,"II",,,,"No"
"Demonax",,"I","I","I",,"I",,"No"
"Demonax branchyona",,"I",,"I",,,,"No"
"Demonax cambrensis",,"I",,"I",,,,"No"
"Demonax microphthalmus",,"I","I","I","I",,,"No"
"Demonax tenuicollaris",,"I",,"I",,,,"No"
"Demospongiae","Yes",,,"I",,,,"No"
"Dendraster",,"I",,"I",,,,"No"
"Dendraster excentricus",,"I","I","I",,,"I","No"
"Dendrodoa",,"I",,"I",,,,"No"
"Dendrodoa grossularia",,"I",,"I",,,,"No"
"Dendronereis pinnaticirris",,"I",,"I",,,,"No"
"Dentalium",,"I",,"I",,,,"No"
"Dentalium dentalis",,"I",,"I",,,,"No"
"Dentalium entale",,"I",,"I",,,,"No"
"Dentalium entalis",,"I",,"I",,,,"No"
"Dentalium inaequicostatum",,"I",,"I",,,,"No"
"Dentalium novemcostatum",,"I",,"I",,,,"No"
"Dentalium occidentale",,"I",,"I",,,,"No"
"Dentalium octangulatum",,"I",,"I",,,,"No"
"Dentalium panormum",,"I",,"I",,,,"No"
"Dentalium rossati",,"I",,"I",,,,"No"
"Dentalium rubescens",,"I",,"I",,,,"No"
"Dentalium tetragonum",,"I",,"I",,,,"No"
"Dentalium texasianum",,"I",,"I",,,,"No"
"Dentalium vulgare",,"I",,"I",,,,"No"
"Dentatisyllis carolinae",,"III","III",,,"III",,"No"
"Dero",,"II",,"II",,,,"Yes"
"Dero abranchiata",,"II",,"II",,,,"Yes"
"Dero digitata",,"II",,"II",,,,"Yes"
"Desdemona ornata",,"II",,"II",,,,"No"
"Desdimelita desdichada",,"II","II",,,,"II","No"
"Deutella incerta",,"III","III",,,"III",,"No"
"Devonia perrieri",,"I",,"I",,,,"No"
"Dexamine",,"III",,"III",,,,"No"
"Dexamine spiniventris",,"III",,"III",,,,"No"
"Dexamine spinosa",,"III",,"III",,,,"No"
"Dexamine thea",,"III",,"III",,,,"No"
"Dexiospira pagenstecheri",,"II",,"II",,,,"No"
"Diadumene",,"II",,"II",,,,"No"
"Diadumene leucolena",,"II",,"II",,,,"No"
"Diaphana",,"I",,"I",,,,"No"
"Diaphana californica",,"I","I",,,,"I","No"
"Diaphana minuta",,"I",,"I",,,,"No"
"Diastylidae",,"II","II",,,"II",,"No"
"Diastylis",,"I",,"I",,,,"No"
"Diastylis bidentata",,"I","I",,,,"I","No"
"Diastylis bradyi",,"II",,"II",,,,"No"
"Diastylis cornuta",,"I",,"I",,,,"No"
"Diastylis crenellata",,"II","II","II",,,"II","No"
"Diastylis goodsiri",,"II",,"II",,,,"No"
"Diastylis laevis",,"II",,"II",,,,"No"
"Diastylis lucifera",,"III",,"III",,,,"No"
"Diastylis paraspinulosa",,"II","II",,,,"II","No"
"Diastylis pellucida",,"II","II",,,,"II","No"
"Diastylis quadrispinosa",,"II","II",,,"II",,"No"
"Diastylis rathkei",,"III",,"III",,,,"No"
"Diastylis rugosa",,"I",,"I",,,,"No"
"Diastylis santamariensis",,"II","II",,,,"II","No"
"Diastylis scorpioides",,"I",,"I",,,,"No"
"Diastylis sculpta",,"II","II",,"II",,,"No"
"Diastylis sentosa",,"II","II",,,,"II","No"
"Diastylis spinulosa",,"I",,"I",,,,"No"
"Diastylis tricincta",,"I",,"I",,,,"No"
"Diastylis tumida",,"II",,"II",,,,"No"
