"taxon","bri_dz","p_code"
"Photis sp","deep","P388"
"Photis sp","mid","P388"
"Phyllodoce groenlandica","deep","P391"
"Phyllodoce groenlandica","mid","P391"
"Pista estevanica","deep","P404"
"Pista estevanica","mid","P404"
"Pista wui","deep","P402"
"Pista wui","mid","P402"
"Poecilochaetus martini","mid","P414"
"Poecilochaetus martini","mid","P415"
"Polycirrus sp","deep","P418"
"Polyschides quadrifissatus","mid","P468"
"Praxillella gracilis","mid","P422"
"Praxillella pacifica","deep","P422"
"Praxillella pacifica","mid","P422"
"Prionospio dubia","deep","P424"
"Prionospio lighti","deep","P426"
"Prionospio lighti","mid","P426"
"Procampylaspis caenosa","deep","P427"
"Protomedeia articulata Cmplx","mid","P431"
"Protomedeia sp","mid","P431"
"Rhepoxynius bicuspidatus","deep","P440"
"Rhepoxynius bicuspidatus","mid","P440"
"Rhodine bitorquata","mid","P446"
"Saxicavella pacifica","mid","P454"
"Schizocardium sp","mid","P163"
"Scoletoma sp C","deep","P270"
"Scoletoma sp C","mid","P270"
"Scoletoma tetraura Cmplx","deep","P270"
"Spiochaetopterus costarum Cmplx","deep","P476"
"Spiochaetopterus costarum Cmplx","mid","P476"
"Spiophanes berkeleyorum","deep","P477"
"Spiophanes berkeleyorum","mid","P477"
"Sternaspis affinis","mid","P483"
"Sthenelais berkeleyi","mid","P484"
"Sthenelais tertiaglabra","deep","P484"
"Sthenelais tertiaglabra","mid","P484"
"Sthenelanella uniformis","mid","P486"
"Subadyte mexicana","deep","P489"
"Syllis heterochaeta","deep","P491"
"Tellina carpenteri","deep","P499"
"Tellina carpenteri","mid","P499"
"Tenonia priops","mid","P502"
"Terebellides californica","mid","P503"
"Terebellides sp","mid","P503"
"Terebellides sp Type C","mid","P503"
"Thracia trapezoides","mid","P379"
"Thyasira flexuosa","deep","P506"
"Trichobranchus hancocki","mid","P072"
"Volvulella cylindrica","deep","P518"
"Westwoodilla tone","deep","P520"
"Westwoodilla tone","mid","P520"
