"stationid","sampledate","latitude","longitude","depth"
"art-1","7/21/2003",32.58585,-117.341083,182
"art-2","7/23/2003",34.183,-119.353792,27.5
"art-3","7/10/2008",32.80746,-117.34415,85
"art-4","7/24/2008",33.69541,-118.29602,28
"art-5","7/9/2008",34.02365,-118.59313,24
"art-6","8/12/2013",33.982233,-118.81395,169
"art-7","9/11/2018",33.51278483,-117.7718262,42
"art-8","8/18/1994",34.386733,-119.8142,56
"art-9","8/17/1994",34.36495,-119.54235,33
"art-10","8/21/1994",34.205267,-119.506367,94
